date,commits
2010-01-01,6
2010-01-02,11
2010-01-03,15
2010-01-04,18
2010-01-05,15
2010-01-06,19
2010-01-07,31
2010-01-08,18
2010-01-09,13
2010-01-10,8
2010-01-11,32
2010-01-12,26
2010-01-13,12
2010-01-14,19
2010-01-15,21
2010-01-16,24
2010-01-17,12
2010-01-18,15
2010-01-19,28
2010-01-20,19
2010-01-21,25
2010-01-22,30
2010-01-23,10
2010-01-24,17
2010-01-25,49
2010-01-26,21
2010-01-27,25
2010-01-28,17
2010-01-29,32
2010-01-30,16
2010-01-31,22
2010-02-01,28
2010-02-02,24
2010-02-03,23
2010-02-04,24
2010-02-05,29
2010-02-06,12
2010-02-07,17
2010-02-08,33
2010-02-09,29
2010-02-10,31
2010-02-11,25
2010-02-12,20
2010-02-13,14
2010-02-14,20
2010-02-15,47
2010-02-16,44
2010-02-17,24
2010-02-18,15
2010-02-19,35
2010-02-20,5
2010-02-21,12
2010-02-22,30
2010-02-23,32
2010-02-24,53
2010-02-25,28
2010-02-26,26
2010-02-27,13
2010-02-28,14
2010-03-01,36
2010-03-02,26
2010-03-03,31
2010-03-04,15
2010-03-05,18
2010-03-06,7
2010-03-07,5
2010-03-08,23
2010-03-09,16
2010-03-10,24
2010-03-11,33
2010-03-12,33
2010-03-13,18
2010-03-14,13
2010-03-15,28
2010-03-16,20
2010-03-17,15
2010-03-18,22
2010-03-19,18
2010-03-20,12
2010-03-21,7
2010-03-22,22
2010-03-23,25
2010-03-24,13
2010-03-25,10
2010-03-26,27
2010-03-27,9
2010-03-28,11
2010-03-29,17
2010-03-30,18
2010-03-31,44
2010-04-01,21
2010-04-02,16
2010-04-03,12
2010-04-04,5
2010-04-05,12
2010-04-06,25
2010-04-07,15
2010-04-08,22
2010-04-09,16
2010-04-10,12
2010-04-11,5
2010-04-12,26
2010-04-13,29
2010-04-14,24
2010-04-15,22
2010-04-16,35
2010-04-17,11
2010-04-18,5
2010-04-19,22
2010-04-20,45
2010-04-21,33
2010-04-22,28
2010-04-23,16
2010-04-24,8
2010-04-25,15
2010-04-26,22
2010-04-27,19
2010-04-28,18
2010-04-29,21
2010-04-30,23
2010-05-01,17
2010-05-02,9
2010-05-03,31
2010-05-04,25
2010-05-05,30
2010-05-06,24
2010-05-07,45
2010-05-08,16
2010-05-09,6
2010-05-10,20
2010-05-11,37
2010-05-12,22
2010-05-13,17
2010-05-14,22
2010-05-15,10
2010-05-16,17
2010-05-17,17
2010-05-18,31
2010-05-19,19
2010-05-20,19
2010-05-21,23
2010-05-22,9
2010-05-23,10
2010-05-24,12
2010-05-25,15
2010-05-26,22
2010-05-27,19
2010-05-28,28
2010-05-29,24
2010-05-30,10
2010-05-31,20
2010-06-01,23
2010-06-02,27
2010-06-03,23
2010-06-04,24
2010-06-05,9
2010-06-06,11
2010-06-07,18
2010-06-08,24
2010-06-09,29
2010-06-10,27
2010-06-11,19
2010-06-12,9
2010-06-13,8
2010-06-14,34
2010-06-15,38
2010-06-16,30
2010-06-17,24
2010-06-18,30
2010-06-19,12
2010-06-20,10
2010-06-21,15
2010-06-22,35
2010-06-23,29
2010-06-24,26
2010-06-25,27
2010-06-26,10
2010-06-27,7
2010-06-28,30
2010-06-29,37
2010-06-30,17
2010-07-01,44
2010-07-02,24
2010-07-03,9
2010-07-04,2
2010-07-05,16
2010-07-06,33
2010-07-07,40
2010-07-08,29
2010-07-09,22
2010-07-10,7
2010-07-11,18
2010-07-12,27
2010-07-13,30
2010-07-14,46
2010-07-15,23
2010-07-16,42
2010-07-17,12
2010-07-18,13
2010-07-19,17
2010-07-20,37
2010-07-21,50
2010-07-22,29
2010-07-23,32
2010-07-24,13
2010-07-25,6
2010-07-26,53
2010-07-27,24
2010-07-28,33
2010-07-29,47
2010-07-30,20
2010-07-31,24
2010-08-01,7
2010-08-02,22
2010-08-03,24
2010-08-04,30
2010-08-05,27
2010-08-06,35
2010-08-07,4
2010-08-08,10
2010-08-09,32
2010-08-10,22
2010-08-11,27
2010-08-12,29
2010-08-13,36
2010-08-14,12
2010-08-15,17
2010-08-16,33
2010-08-17,29
2010-08-18,36
2010-08-19,42
2010-08-20,30
2010-08-21,10
2010-08-22,21
2010-08-23,29
2010-08-24,32
2010-08-25,44
2010-08-26,49
2010-08-27,20
2010-08-28,22
2010-08-29,11
2010-08-30,32
2010-08-31,49
2010-09-01,21
2010-09-02,22
2010-09-03,15
2010-09-04,5
2010-09-05,6
2010-09-06,16
2010-09-07,33
2010-09-08,34
2010-09-09,24
2010-09-10,34
2010-09-11,9
2010-09-12,11
2010-09-13,51
2010-09-14,42
2010-09-15,38
2010-09-16,33
2010-09-17,29
2010-09-18,14
2010-09-19,10
2010-09-20,47
2010-09-21,35
2010-09-22,46
2010-09-23,49
2010-09-24,23
2010-09-25,6
2010-09-26,7
2010-09-27,35
2010-09-28,40
2010-09-29,29
2010-09-30,35
2010-10-01,36
2010-10-02,10
2010-10-03,8
2010-10-04,33
2010-10-05,34
2010-10-06,25
2010-10-07,53
2010-10-08,25
2010-10-09,4
2010-10-10,4
2010-10-11,28
2010-10-12,30
2010-10-13,35
2010-10-14,34
2010-10-15,37
2010-10-16,17
2010-10-17,17
2010-10-18,55
2010-10-19,54
2010-10-20,35
2010-10-21,35
2010-10-22,47
2010-10-23,9
2010-10-24,17
2010-10-25,29
2010-10-26,52
2010-10-27,36
2010-10-28,29
2010-10-29,33
2010-10-30,29
2010-10-31,20
2010-11-01,40
2010-11-02,41
2010-11-03,56
2010-11-04,51
2010-11-05,44
2010-11-06,2
2010-11-07,11
2010-11-08,28
2010-11-09,43
2010-11-10,31
2010-11-11,21
2010-11-12,31
2010-11-13,13
2010-11-14,11
2010-11-15,16
2010-11-16,25
2010-11-17,36
2010-11-18,46
2010-11-19,34
2010-11-20,21
2010-11-21,9
2010-11-22,25
2010-11-23,39
2010-11-24,40
2010-11-25,31
2010-11-26,22
2010-11-27,25
2010-11-28,12
2010-11-29,21
2010-11-30,32
2010-12-01,47
2010-12-02,28
2010-12-03,46
2010-12-04,20
2010-12-05,15
2010-12-06,34
2010-12-07,36
2010-12-08,47
2010-12-09,43
2010-12-10,36
2010-12-11,14
2010-12-12,3
2010-12-13,39
2010-12-14,49
2010-12-15,46
2010-12-16,32
2010-12-17,26
2010-12-18,7
2010-12-19,20
2010-12-20,64
2010-12-21,91
2010-12-22,31
2010-12-23,42
2010-12-24,28
2010-12-25,6
2010-12-26,11
2010-12-27,29
2010-12-28,19
2010-12-29,24
2010-12-30,34
2010-12-31,11
2011-01-01,21
2011-01-02,15
2011-01-03,35
2011-01-04,47
2011-01-05,34
2011-01-06,35
2011-01-07,32
2011-01-08,14
2011-01-09,29
2011-01-10,37
2011-01-11,39
2011-01-12,30
2011-01-13,62
2011-01-14,35
2011-01-15,18
2011-01-16,13
2011-01-17,40
2011-01-18,48
2011-01-19,50
2011-01-20,36
2011-01-21,46
2011-01-22,17
2011-01-23,22
2011-01-24,43
2011-01-25,19
2011-01-26,32
2011-01-27,27
2011-01-28,34
2011-01-29,22
2011-01-30,20
2011-01-31,51
2011-02-01,60
2011-02-02,34
2011-02-03,41
2011-02-04,45
2011-02-05,23
2011-02-06,16
2011-02-07,56
2011-02-08,73
2011-02-09,32
2011-02-10,49
2011-02-11,36
2011-02-12,15
2011-02-13,17
2011-02-14,34
2011-02-15,36
2011-02-16,50
2011-02-17,39
2011-02-18,36
2011-02-19,16
2011-02-20,18
2011-02-21,76
2011-02-22,107
2011-02-23,54
2011-02-24,57
2011-02-25,34
2011-02-26,23
2011-02-27,23
2011-02-28,46
2011-03-01,40
2011-03-02,68
2011-03-03,32
2011-03-04,50
2011-03-05,14
2011-03-06,22
2011-03-07,21
2011-03-08,68
2011-03-09,46
2011-03-10,31
2011-03-11,51
2011-03-12,32
2011-03-13,20
2011-03-14,46
2011-03-15,59
2011-03-16,49
2011-03-17,40
2011-03-18,49
2011-03-19,18
2011-03-20,28
2011-03-21,45
2011-03-22,62
2011-03-23,49
2011-03-24,49
2011-03-25,44
2011-03-26,21
2011-03-27,18
2011-03-28,42
2011-03-29,57
2011-03-30,76
2011-03-31,67
2011-04-01,38
2011-04-02,11
2011-04-03,17
2011-04-04,48
2011-04-05,41
2011-04-06,31
2011-04-07,39
2011-04-08,52
2011-04-09,15
2011-04-10,9
2011-04-11,44
2011-04-12,48
2011-04-13,34
2011-04-14,50
2011-04-15,49
2011-04-16,10
2011-04-17,24
2011-04-18,41
2011-04-19,62
2011-04-20,41
2011-04-21,40
2011-04-22,44
2011-04-23,11
2011-04-24,11
2011-04-25,20
2011-04-26,35
2011-04-27,33
2011-04-28,53
2011-04-29,39
2011-04-30,31
2011-05-01,45
2011-05-02,36
2011-05-03,34
2011-05-04,57
2011-05-05,66
2011-05-06,44
2011-05-07,10
2011-05-08,17
2011-05-09,43
2011-05-10,53
2011-05-11,48
2011-05-12,43
2011-05-13,36
2011-05-14,19
2011-05-15,23
2011-05-16,41
2011-05-17,55
2011-05-18,62
2011-05-19,51
2011-05-20,30
2011-05-21,18
2011-05-22,38
2011-05-23,53
2011-05-24,46
2011-05-25,65
2011-05-26,55
2011-05-27,49
2011-05-28,17
2011-05-29,15
2011-05-30,26
2011-05-31,37
2011-06-01,32
2011-06-02,41
2011-06-03,36
2011-06-04,23
2011-06-05,41
2011-06-06,39
2011-06-07,35
2011-06-08,49
2011-06-09,36
2011-06-10,49
2011-06-11,23
2011-06-12,22
2011-06-13,34
2011-06-14,50
2011-06-15,28
2011-06-16,41
2011-06-17,39
2011-06-18,17
2011-06-19,18
2011-06-20,29
2011-06-21,49
2011-06-22,87
2011-06-23,58
2011-06-24,46
2011-06-25,15
